PC,direction,rank,gene_name,loading
PC1,positive,1,FCN1,0.06949831660294477
PC1,positive,2,LYZ,0.06875119938424326
PC1,positive,3,AIF1,0.06756675237337305
PC1,positive,4,SERPINA1,0.06701311100913784
PC1,positive,5,CTSS,0.06662944922342268
PC1,positive,6,S100A9,0.06547677198342855
PC1,positive,7,LST1,0.06520977232726564
PC1,positive,8,TYMP,0.06491780102403008
PC1,positive,9,SPI1,0.06482423498915459
PC1,positive,10,CYBB,0.0647633138287349
PC1,negative,1,IL32,-0.042564562729463996
PC1,negative,2,CCL5,-0.04070217724521397
PC1,negative,3,CD3E,-0.04047205445860954
PC1,negative,4,ARL4C,-0.03953878295577241
PC1,negative,5,TRBC2,-0.03904842552622563
PC1,negative,6,GZMM,-0.03877474165796464
PC1,negative,7,SYNE2,-0.038245701038581506
PC1,negative,8,CD69,-0.03777420714699411
PC1,negative,9,CST7,-0.03690678104884103
PC1,negative,10,CD247,-0.03643266949481234
PC2,positive,1,PF4,0.09197230971955064
PC2,positive,2,GNG11,0.09196349846549684
PC2,positive,3,CAVIN2,0.09149746856961287
PC2,positive,4,TUBB1,0.09021962966516088
PC2,positive,5,GP9,0.08918352310513224
PC2,positive,6,PPBP,0.08726673450550203
PC2,positive,7,CMTM5,0.08710230032619738
PC2,positive,8,ACRBP,0.08693575232347221
PC2,positive,9,HIST1H2AC,0.0867804763121737
PC2,positive,10,NRGN,0.08630143688571497
PC2,negative,1,RPS2,-0.07458900239918427
PC2,negative,2,HSP90AA1,-0.05951856611894796
PC2,negative,3,CORO1A,-0.05896528676407529
PC2,negative,4,NKG7,-0.05852234731025011
PC2,negative,5,GZMA,-0.05733839431924204
PC2,negative,6,RPLP0,-0.05711941429851788
PC2,negative,7,S100A4,-0.055539983694041485
PC2,negative,8,ARL4C,-0.05541717655805902
PC2,negative,9,IL32,-0.05512852751130261
PC2,negative,10,NPM1,-0.054198367317987606
PC3,positive,1,CD79A,0.11780347357631785
PC3,positive,2,MS4A1,0.11062240349734784
PC3,positive,3,IGHM,0.10801512597084786
PC3,positive,4,TNFRSF13C,0.10616883404216951
PC3,positive,5,LINC00926,0.10607517643031925
PC3,positive,6,IGHD,0.10363868323080164
PC3,positive,7,BANK1,0.09870510074647872
PC3,positive,8,CD79B,0.09457115863304054
PC3,positive,9,RALGPS2,0.0938521145674931
PC3,positive,10,AFF3,0.08904793874403537
PC3,negative,1,CCL5,-0.0820588568202912
PC3,negative,2,SRGN,-0.07080951021572424
PC3,negative,3,NKG7,-0.0703436745273818
PC3,negative,4,CST7,-0.06825510802904806
PC3,negative,5,GZMA,-0.06722086049465781
PC3,negative,6,PRF1,-0.06450185862555244
PC3,negative,7,GZMH,-0.06434525665078435
PC3,negative,8,GZMB,-0.06410247276213667
PC3,negative,9,CTSW,-0.06400119066243996
PC3,negative,10,TMSB4X,-0.06349692991848305
PC4,positive,1,TYMS,0.09605221247752067
PC4,positive,2,PCLAF,0.09408676690685325
PC4,positive,3,RRM2,0.08275365793740729
PC4,positive,4,MKI67,0.08143115908229051
PC4,positive,5,TK1,0.08062922105124394
PC4,positive,6,ZWINT,0.0798502143576729
PC4,positive,7,STMN1,0.07971618788714395
PC4,positive,8,BIRC5,0.07828171888067806
PC4,positive,9,CDT1,0.07733546678402989
PC4,positive,10,MYBL2,0.07278218558366366
PC4,negative,1,S100A12,-0.032808427810109966
PC4,negative,2,TNFAIP3,-0.03238451399051215
PC4,negative,3,SLC25A37,-0.03127146334209728
PC4,negative,4,S100A8,-0.029580023522584157
PC4,negative,5,ALAS2,-0.028429900819342588
PC4,negative,6,FOS,-0.02703149874921063
PC4,negative,7,HBA2,-0.02699994010023744
PC4,negative,8,IL1R2,-0.02605487778132701
PC4,negative,9,KLRB1,-0.02573462114730244
PC4,negative,10,DUSP1,-0.025308683831419175
PC5,positive,1,FCGR3A,0.11042314453801348
PC5,positive,2,HLA-DPB1,0.09096901417933692
PC5,positive,3,HLA-DPA1,0.0907281702840725
PC5,positive,4,RHOC,0.08729931806238113
PC5,positive,5,KLRF1,0.07739165735016364
PC5,positive,6,HLA-DRB1,0.07325800719783405
PC5,positive,7,GZMB,0.07174292326412816
PC5,positive,8,FGFBP2,0.07155015674260441
